               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11154,            0.071248,              0.1064,                   0,                   0,                   0,                   0,             0.10372,            0.057379,             0.10382,              0.0015,              0.0015,              0.0865
                   1,             0.10976,            0.070451,             0.10563,                   0,                   0,                   0,                   0,             0.10293,            0.057807,             0.10383,           0.0030969,           0.0030969,            0.072097
                   2,              0.1083,            0.073837,             0.10531,                   0,                   0,                   0,                   0,             0.10221,            0.058479,             0.10384,           0.0046907,           0.0046907,            0.057691
                   3,             0.10502,            0.077806,             0.10446,                   0,                   0,                   0,                   0,             0.10171,            0.058941,             0.10385,           0.0062813,           0.0062813,            0.043281
                   4,             0.10386,            0.082254,             0.10333,                   0,                   0,                   0,                   0,             0.10139,            0.059281,             0.10353,           0.0078687,           0.0078687,            0.028869
                   5,             0.10388,            0.078074,             0.10349,                   0,                   0,                   0,                   0,             0.10115,            0.059599,             0.10335,            0.009453,            0.009453,            0.014453
                   6,             0.10314,            0.077781,             0.10331,          0.00050419,             0.01234,          0.00032038,          0.00011986,             0.10427,            0.057061,             0.10224,           0.0099406,           0.0099406,           0.0099406
                   7,             0.10356,             0.08034,              0.1028,            0.014271,           0.0096877,          0.00012404,          2.7514e-05,             0.10983,            0.050737,             0.10481,           0.0099406,           0.0099406,           0.0099406
                   8,             0.10361,            0.079531,             0.10296,           0.0006412,            0.032447,          0.00053267,          0.00011555,             0.11261,            0.048138,             0.11183,           0.0099307,           0.0099307,           0.0099307
                   9,             0.10198,            0.069505,             0.10221,             0.71893,           0.0092048,          0.00051403,          0.00011419,             0.11171,            0.049189,             0.11032,           0.0099208,           0.0099208,           0.0099208
                  10,             0.10098,            0.077862,             0.10206,             0.49342,           0.0057915,          0.00024649,          7.8465e-05,             0.11056,            0.049977,             0.10845,           0.0099109,           0.0099109,           0.0099109
                  11,             0.10063,            0.087686,             0.10219,            0.028328,            0.004444,          8.6409e-05,          1.7651e-05,             0.11097,            0.049612,             0.10792,            0.009901,            0.009901,            0.009901
                  12,             0.10062,            0.075292,             0.10183,             0.90147,          0.00016635,           2.001e-05,          3.4174e-06,             0.11107,            0.050145,              0.1069,           0.0098911,           0.0098911,           0.0098911
                  13,             0.10023,            0.079867,             0.10089,             0.97221,          0.00027725,          4.0194e-05,          7.1528e-06,             0.10924,            0.052364,             0.10785,           0.0098812,           0.0098812,           0.0098812
                  14,             0.10085,            0.077222,              0.1012,             0.81713,            0.001109,          0.00010714,          2.6762e-05,             0.10902,            0.051892,             0.10359,           0.0098713,           0.0098713,           0.0098713
                  15,              0.1007,            0.084551,             0.10074,             0.12721,           0.0077089,          0.00021629,          6.5842e-05,             0.11049,            0.050465,             0.10549,           0.0098614,           0.0098614,           0.0098614
                  16,             0.10005,            0.089334,             0.10069,           0.0017914,            0.005619,           0.0013626,          0.00014471,             0.11064,             0.04993,             0.10316,           0.0098515,           0.0098515,           0.0098515
                  17,             0.10072,            0.077573,            0.099467,             0.76071,          0.00088721,          3.4454e-05,           6.852e-06,             0.10918,            0.051464,             0.10269,           0.0098416,           0.0098416,           0.0098416
                  18,            0.099126,            0.073196,            0.099466,              0.7891,          0.00044361,          5.1089e-05,          1.1279e-05,             0.10696,            0.053576,             0.10094,           0.0098317,           0.0098317,           0.0098317
                  19,             0.10025,            0.084585,            0.098281,              0.7608,           0.0003327,          2.7518e-05,          5.6162e-06,             0.10398,            0.056152,             0.09878,           0.0098218,           0.0098218,           0.0098218
                  20,             0.10013,            0.082936,            0.098278,             0.57758,          0.00038816,          2.2653e-05,          4.0731e-06,             0.10272,            0.057071,             0.09698,           0.0098119,           0.0098119,           0.0098119
                  21,            0.099504,              0.0859,            0.097128,             0.52145,           0.0003327,          3.2421e-05,          6.6425e-06,             0.10172,            0.057706,             0.09562,            0.009802,            0.009802,            0.009802
                  22,             0.10034,            0.080968,            0.097165,             0.25367,          0.00049906,          2.8509e-05,          7.1556e-06,            0.099451,             0.05943,            0.096532,           0.0097921,           0.0097921,           0.0097921
                  23,            0.099817,            0.084805,            0.096255,             0.36629,          0.00016635,          1.9112e-05,           4.321e-06,            0.098927,            0.059698,            0.096826,           0.0097822,           0.0097822,           0.0097822
                  24,            0.098638,            0.073531,            0.096733,             0.40861,          0.00055451,          3.2741e-05,          7.4124e-06,            0.098807,            0.059565,            0.096359,           0.0097723,           0.0097723,           0.0097723
                  25,            0.099486,            0.079661,              0.0974,             0.52146,          0.00049906,          3.9443e-05,          8.0764e-06,            0.098802,            0.059466,            0.094976,           0.0097624,           0.0097624,           0.0097624
                  26,            0.099027,            0.082953,            0.095657,             0.62016,          0.00027629,          3.7342e-05,          8.1513e-06,            0.098577,            0.059464,            0.094745,           0.0097525,           0.0097525,           0.0097525
                  27,             0.10041,            0.084301,            0.095277,             0.19772,          0.00027725,          4.0201e-05,          5.5168e-06,            0.099379,            0.065451,            0.092068,           0.0097426,           0.0097426,           0.0097426
                  28,            0.099396,            0.080055,            0.094638,             0.53528,           0.0019408,          3.0467e-05,          5.5524e-06,            0.098525,            0.060207,             0.09312,           0.0097327,           0.0097327,           0.0097327
                  29,            0.099823,            0.081773,            0.094029,          0.00023657,           0.0079503,          0.00018056,          5.2743e-05,            0.098466,            0.059432,            0.092287,           0.0097228,           0.0097228,           0.0097228
                  30,              0.1002,            0.086604,            0.091431,          9.2605e-05,           0.0055867,          6.1914e-05,          1.3301e-05,            0.098223,            0.059253,            0.091346,           0.0097129,           0.0097129,           0.0097129
                  31,            0.099335,            0.081924,            0.093059,             0.29596,           0.0056976,          8.5433e-05,          1.8544e-05,             0.09813,            0.059185,            0.090035,            0.009703,            0.009703,            0.009703
                  32,            0.097788,            0.081222,            0.092614,          0.00021686,            0.005254,          0.00014167,          1.7051e-05,             0.09758,            0.058209,            0.091379,           0.0096931,           0.0096931,           0.0096931
                  33,             0.09889,            0.079685,            0.090324,              0.5496,           0.0047064,          0.00014955,           2.309e-05,            0.097812,            0.058301,            0.089702,           0.0096832,           0.0096832,           0.0096832
