               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 314,             0.04843,            0.069395,            0.024624,             0.64527,             0.51253,             0.54864,             0.34768,             0.04365,            0.049987,            0.016645,           0.0038026,           0.0038026,           0.0038026
                 315,            0.048354,            0.069419,            0.024436,              0.6565,             0.50437,             0.54828,             0.34777,            0.043681,            0.050071,            0.016695,           0.0037828,           0.0037828,           0.0037828
                 316,            0.048308,             0.06913,            0.024297,             0.65858,             0.50118,             0.54771,             0.34725,            0.043723,             0.05015,            0.016746,            0.003763,            0.003763,            0.003763
                 317,            0.048217,            0.069007,            0.024088,             0.65464,             0.50449,             0.54728,             0.34642,            0.043754,            0.050223,            0.016794,           0.0037432,           0.0037432,           0.0037432
                 318,            0.048224,            0.069009,            0.024087,             0.65273,             0.50322,             0.54636,             0.34569,            0.043782,            0.050293,            0.016834,           0.0037234,           0.0037234,           0.0037234
                 319,            0.048178,            0.069172,            0.024042,             0.64417,              0.5092,             0.54644,             0.34545,              0.0438,            0.050359,            0.016872,           0.0037036,           0.0037036,           0.0037036
                 320,            0.048215,            0.069191,            0.023897,             0.63406,             0.51497,             0.54569,             0.34479,            0.043816,            0.050408,            0.016912,           0.0036838,           0.0036838,           0.0036838
                 321,            0.048114,            0.068985,            0.023899,             0.64583,             0.50604,             0.54507,             0.34414,             0.04383,            0.050446,            0.016947,            0.003664,            0.003664,            0.003664
                 322,            0.048128,            0.068954,            0.023814,             0.63962,             0.50926,             0.54483,              0.3441,            0.043842,            0.050483,            0.016973,           0.0036442,           0.0036442,           0.0036442
                 323,            0.048101,            0.068918,            0.023875,             0.66138,             0.49712,             0.54456,             0.34361,            0.043849,            0.050513,            0.016995,           0.0036244,           0.0036244,           0.0036244
                 324,            0.048138,            0.068911,            0.023832,             0.66932,             0.49323,             0.54505,             0.34343,            0.043851,             0.05055,            0.017009,           0.0036046,           0.0036046,           0.0036046
                 325,            0.048107,            0.068984,            0.023741,             0.67417,             0.49018,             0.54494,              0.3427,            0.043851,            0.050584,             0.01701,           0.0035848,           0.0035848,           0.0035848
                 326,            0.048036,            0.068881,            0.023624,             0.65712,             0.49774,             0.54403,              0.3422,            0.043857,            0.050605,             0.01701,            0.003565,            0.003565,            0.003565
                 327,            0.048022,            0.069067,            0.023692,              0.6268,             0.51395,             0.54336,              0.3422,             0.04386,            0.050612,            0.017019,           0.0035452,           0.0035452,           0.0035452
                 328,            0.048054,             0.06878,            0.023716,             0.64642,             0.50358,              0.5429,             0.34247,            0.043863,            0.050621,            0.017039,           0.0035254,           0.0035254,           0.0035254
                 329,            0.048018,            0.068573,            0.023699,              0.6376,             0.50937,             0.54253,             0.34218,            0.043857,             0.05063,            0.017036,           0.0035056,           0.0035056,           0.0035056
                 330,            0.048021,            0.068873,            0.023536,             0.64606,             0.50482,             0.54244,              0.3418,             0.04385,            0.050627,            0.017029,           0.0034858,           0.0034858,           0.0034858
                 331,            0.048011,            0.068745,            0.023512,             0.64527,             0.50622,             0.54291,             0.34206,            0.043843,            0.050636,            0.017026,            0.003466,            0.003466,            0.003466
                 332,            0.047935,            0.068466,            0.023476,             0.64876,             0.50256,             0.54311,             0.34244,            0.043839,            0.050633,            0.017026,           0.0034462,           0.0034462,           0.0034462
                 333,            0.047973,            0.068709,            0.023531,             0.65313,             0.50305,             0.54365,             0.34289,            0.043836,            0.050618,            0.017016,           0.0034264,           0.0034264,           0.0034264
                 334,            0.047896,            0.068713,            0.023476,             0.64084,             0.51198,             0.54401,              0.3437,            0.043833,            0.050604,             0.01701,           0.0034066,           0.0034066,           0.0034066
                 335,            0.047973,            0.068744,            0.023512,             0.64908,             0.50773,             0.54391,             0.34381,            0.043831,            0.050588,            0.016985,           0.0033868,           0.0033868,           0.0033868
                 336,            0.047892,            0.068949,            0.023404,             0.64653,             0.50807,             0.54448,             0.34438,            0.043821,            0.050572,            0.016969,            0.003367,            0.003367,            0.003367
                 337,            0.047967,             0.06894,            0.023384,             0.65832,             0.50152,             0.54472,             0.34391,            0.043814,            0.050561,            0.016963,           0.0033472,           0.0033472,           0.0033472
